lon,lat,info
113.783257,22.666773,i19672-o3-h-3
113.811577,22.666773,i19673-o1-h1
113.872948,22.666773,i19674-o1-h26
113.875778,22.666773,i19675-o2-h29
113.784195,22.667717,i19729-o3-h-3
113.872002,22.667717,i19730-o1-h32
113.875778,22.667717,i19731-o2-h31
113.785141,22.668661,i19790-o3-h-3
113.870117,22.668661,i19791-o1-h34
113.871056,22.668661,i19792-o1-h34
113.876724,22.668661,i19793-o2-h35
113.785141,22.669605,i19855-o3-h-3
113.869171,22.669605,i19856-o1-h39
113.876724,22.669605,i19857-o2-h35
113.786087,22.670549,i19914-o3-h-3
113.868225,22.670549,i19915-o1-h41
113.876724,22.670549,i19916-o2-h35
113.787033,22.671494,i19969-o3-h-3
113.793640,22.671494,i19970-o1-h-3
113.794586,22.671494,i19971-o1-h-3
113.795525,22.671494,i19972-o1-h-3
113.866341,22.671494,i19973-o1-h41
113.867279,22.671494,i19974-o1-h41
113.876724,22.671494,i19975-o2-h35
113.787971,22.672438,i20024-o3-h-3
113.792694,22.672438,i20025-o1-h-3
113.796471,22.672438,i20026-o1-h-1
113.797417,22.672438,i20027-o1-h-1
113.798363,22.672438,i20028-o1-h-1
113.799301,22.672438,i20029-o1-h-1
113.860672,22.672438,i20030-o1-h44
113.861618,22.672438,i20031-o1-h44
113.863503,22.672438,i20032-o1-h41
113.865395,22.672438,i20033-o1-h41
113.877670,22.672438,i20034-o2-h35
113.788918,22.672438,i20092-o3-h-3
113.789864,22.672438,i20093-o3-h-3
113.790810,22.672438,i20094-o3-h-3
113.800247,22.672438,i20095-o1-h-1
113.859726,22.672438,i20096-o1-h44
113.862564,22.672438,i20097-o1-h44
113.878609,22.672438,i20098-o2-h35
113.792694,22.673382,i20147-o3-h-3
113.801193,22.673382,i20148-o1-h-1
113.821960,22.673382,i20149-o1-h6
113.879555,22.673382,i20150-o2-h35
113.792694,22.674326,i20200-o1-h-3
113.793640,22.674326,i20201-o3-h-3
113.821960,22.674326,i20202-o1-h3
113.880501,22.674326,i20203-o2-h35
113.792694,22.675270,i20249-o1-h-3
113.793640,22.675270,i20250-o3-h-3
113.821960,22.675270,i20251-o1-h3
113.880501,22.675270,i20252-o2-h35
113.792694,22.676214,i20307-o1-h-3
113.793640,22.676214,i20308-o3-h-3
113.822906,22.676214,i20309-o1-h3
113.880501,22.676214,i20310-o2-h35
113.792694,22.677158,i20358-o1-h-3
113.793640,22.677158,i20359-o3-h-3
113.821022,22.677158,i20360-o1-h2
113.821960,22.677158,i20361-o1-h3
113.831406,22.677158,i20362-o1-h14
113.880501,22.677158,i20363-o2-h36
113.792694,22.678102,i20405-o1-h-3
113.794586,22.678102,i20406-o3-h-3
113.795525,22.678102,i20407-o3-h-1
113.821022,22.678102,i20408-o1-h2
113.830460,22.678102,i20409-o1-h14
113.880501,22.678102,i20410-o2-h38
113.790810,22.679047,i20470-o1-h-2
113.796471,22.679047,i20471-o3-h-1
113.820076,22.679047,i20472-o1-h2
113.822906,22.679047,i20473-o2-h3
113.823853,22.679047,i20474-o2-h5
113.831406,22.679047,i20475-o1-h12
113.881447,22.679047,i20476-o2-h38
113.790810,22.679991,i20546-o1-h-2
113.797417,22.679991,i20547-o3-h-1
113.819130,22.679991,i20548-o1-h-1
113.821960,22.679991,i20549-o2-h1
113.824799,22.679991,i20550-o2-h7
113.831406,22.679991,i20551-o1-h12
113.881447,22.679991,i20552-o2-h38
113.798363,22.680935,i20615-o3-h-1
113.819130,22.680935,i20616-o1-h-1
113.821022,22.680935,i20617-o2-h-1
113.825737,22.680935,i20618-o2-h9
113.831406,22.680935,i20619-o2-h12
113.832352,22.680935,i20620-o1-h12
113.833290,22.680935,i20621-o1-h12
113.834236,22.680935,i20622-o1-h12
113.835182,22.680935,i20623-o1-h12
113.877670,22.680935,i20624-o1-h44
113.878609,22.680935,i20625-o1-h43
113.879555,22.680935,i20626-o1-h41
113.880501,22.680935,i20627-o1-h39
113.881447,22.680935,i20628-o1-h39
113.893715,22.680935,i20629-o1-h32
113.799301,22.681879,i20687-o3-h-1
113.819130,22.681879,i20688-o1-h-1
113.820076,22.681879,i20689-o2-h-1
113.826683,22.681879,i20690-o2-h9
113.830460,22.681879,i20691-o2-h12
113.836128,22.681879,i20692-o1-h12
113.837067,22.681879,i20693-o1-h13
113.876724,22.681879,i20694-o1-h58
113.881447,22.681879,i20695-o1-h39
113.894661,22.681879,i20696-o1-h32
113.800247,22.682823,i20761-o3-h-1
113.819130,22.682823,i20762-o2-h-1
113.827629,22.682823,i20763-o2-h12
113.829514,22.682823,i20764-o2-h12
113.838013,22.682823,i20765-o1-h14
113.875778,22.682823,i20766-o1-h65
113.881447,22.682823,i20767-o1-h40
113.895607,22.682823,i20768-o1-h32
113.801193,22.683767,i20828-o3-h-1
113.818184,22.683767,i20829-o2-h-1
113.828575,22.683767,i20830-o2-h12
113.838959,22.683767,i20831-o1-h16
113.842735,22.683767,i20832-o1-h17
113.874832,22.683767,i20833-o1-h72
